"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"LEF1.1",0,2.80019978484228,0.415,0.017,0,"Brain","LEF1","Up","LEF1"
"ZIC1",0,2.06395029883115,0.22,0.001,0,"Brain","ZIC1","Up","ZIC1"
"FOXQ1",0,1.85066314775034,0.212,0,0,"Brain","FOXQ1","Up","FOXQ1"
"PPARD",0,1.72225595355366,0.287,0.027,0,"Brain","PPARD","Up","PPARD"
"FOXF2",0,1.66275103416693,0.186,0.002,0,"Brain","FOXF2","Up","FOXF2"
"ZIC2",0,1.5438978001563,0.168,0.001,0,"Brain","ZIC2","Up","ZIC2"
"SOX11",0,1.35679558125144,0.249,0.039,0,"Brain","SOX11","Up","SOX11"
"FOXC1.1",0,1.24648446514285,0.318,0.053,0,"Brain","FOXC1","Up","FOXC1"
"EBF1.1",0,1.11894244265838,0.58,0.241,0,"Brain","EBF1","Up","EBF1"
"HES4",0,1.0406487642404,0.122,0.012,0,"Brain","HES4","Up","HES4"
"HES1.1",0,0.97591197443812,0.279,0.081,0,"Brain","HES1","Up","HES1"
"KLF12.1",0,0.971802409438785,0.345,0.108,0,"Brain","KLF12","Up","KLF12"
"NPAS2",0,0.8952507429722,0.19,0.038,0,"Brain","NPAS2","Up","NPAS2"
"TBX2",0,0.738823812865172,0.101,0.015,0,"Brain","TBX2","Up","TBX2"
"ETS1.1",0,0.729711336100281,0.507,0.221,0,"Brain","ETS1","Up","ETS1"
"PRDM1",0,0.706246141889469,0.119,0.022,0,"Brain","PRDM1","Up","PRDM1"
"MECOM.1",0,0.691805305820673,0.471,0.21,0,"Brain","MECOM","Up","MECOM"
"DNAJC1.1",0,0.681350651412139,0.244,0.084,0,"Brain","DNAJC1","Up","DNAJC1"
"DACH1.1",0,0.624165962574792,0.524,0.238,0,"Brain","DACH1","Up","DACH1"
"KLF13",0,0.622010736050709,0.162,0.044,0,"Brain","KLF13","Up","KLF13"
"ZEB1.1",0,0.585208834795183,0.514,0.291,0,"Brain","ZEB1","Up","ZEB1"
"MXI1",0,0.578878743148421,0.123,0.029,0,"Brain","MXI1","Up","MXI1"
"NCOA1.1",0,0.569002182556074,0.368,0.161,0,"Brain","NCOA1","Up","NCOA1"
"NR6A1",0,0.523669102674464,0.104,0.029,0,"Brain","NR6A1","Up","NR6A1"
"FOXP2",0,0.500344412660971,0.107,0.03,0,"Brain","FOXP2","Up","FOXP2"
"PIAS2",0,0.494246997652846,0.13,0.037,0,"Brain","PIAS2","No",NA
"FLI1.1",0,0.482413323095156,0.4,0.199,0,"Brain","FLI1","No",NA
"CSRNP3",0,0.4654664166803,0.111,0.036,0,"Brain","CSRNP3","No",NA
"ZNF532.1",0,0.452651709167268,0.188,0.07,0,"Brain","ZNF532","No",NA
"NR3C1.1",0,0.445386733494041,0.334,0.153,0,"Brain","NR3C1","No",NA
"ARID3A",0,0.444638619588201,0.128,0.037,0,"Brain","ARID3A","No",NA
"TCF4.1",0,0.43191021579819,0.705,0.472,0,"Brain","TCF4","No",NA
"JUNB",3.18794208745652e-265,0.426882578114401,0.152,0.067,2.02628787020824e-260,"Brain","JUNB","No",NA
"ZKSCAN1.1",0,0.424470370396742,0.231,0.095,0,"Brain","ZKSCAN1","No",NA
"TSC22D1.1",0,0.403757095946551,0.293,0.129,0,"Brain","TSC22D1","No",NA
"SMAD3",0,0.384660738266437,0.137,0.049,0,"Brain","SMAD3","No",NA
"TSC22D3",0,0.381396924275197,0.119,0.039,0,"Brain","TSC22D3","No",NA
"ZNF366",0,0.373173242194224,0.125,0.044,0,"Brain","ZNF366","No",NA
"CUX1.1",0,0.353586896477221,0.36,0.182,0,"Brain","CUX1","No",NA
"ZBTB38",0,0.340166333786551,0.149,0.053,0,"Brain","ZBTB38","No",NA
"ZFP36L1.1",0,0.333004948950762,0.541,0.314,0,"Brain","ZFP36L1","No",NA
"ZNF618",3.08935531626172e-292,0.330925505647145,0.126,0.048,1.96362513256911e-287,"Brain","ZNF618","No",NA
"TRPS1",0,0.329972946395025,0.153,0.053,0,"Brain","TRPS1","No",NA
"RORA.1",1.67336572023764e-302,0.326929457929188,0.352,0.196,1.06360798544025e-297,"Brain","RORA","No",NA
"SOX18.1",0,0.323878416166613,0.27,0.123,0,"Brain","SOX18","No",NA
"TEAD1.1",0,0.308068676848155,0.291,0.137,0,"Brain","TEAD1","No",NA
"KLF6.1",0,0.301696541420212,0.304,0.143,0,"Brain","KLF6","No",NA
"ZNF91",3.06886023623988e-298,0.297926344631608,0.12,0.043,1.95059825475643e-293,"Brain","ZNF91","No",NA
"SETBP1.1",0,0.297619961827381,0.2,0.083,0,"Brain","SETBP1","No",NA
"REST",1.07782107956249e-305,0.277476743782537,0.143,0.056,6.85073856380717e-301,"Brain","REST","No",NA
"PRDM2",1.14214644465306e-268,0.252068532396269,0.11,0.04,7.25959701685932e-264,"Brain","PRDM2","No",NA
"STAT1",5.50154715852277e-276,0.245517010329793,0.101,0.035,3.49683838942866e-271,"Brain","STAT1","No",NA
"SMAD1.1",0,0.237664262008772,0.217,0.098,0,"Brain","SMAD1","No",NA
"CREB1.1",3.85409879196689e-272,0.22405607371489,0.18,0.082,2.44970373316208e-267,"Brain","CREB1","No",NA
"ZFHX3.1",7.3904374683441e-302,0.223612706668621,0.292,0.152,4.69743595925419e-297,"Brain","ZFHX3","No",NA
"KHSRP.1",7.49318313855319e-307,0.221625666135788,0.189,0.084,4.76274213469579e-302,"Brain","KHSRP","No",NA
"BACH1",1.71183166305985e-290,0.221060750016722,0.175,0.077,1.08805732335747e-285,"Brain","BACH1","No",NA
"ZNFX1",5.1115396119022e-228,0.208479771560128,0.106,0.042,3.24894569272115e-223,"Brain","ZNFX1","No",NA
"ZNF503",6.09150211399669e-274,0.200276574761592,0.14,0.057,3.87181965867744e-269,"Brain","ZNF503","No",NA
"FOS.1",4.43323921334773e-86,0.193119399310103,0.17,0.11,2.81781117639595e-81,"Brain","FOS","No",NA
"ZEB2",3.23690986870954e-185,0.185931211254974,0.154,0.077,2.05741228165047e-180,"Brain","ZEB2","No",NA
"CAMTA1.1",1.15139190475969e-255,0.172812238424983,0.2,0.097,7.31836208584307e-251,"Brain","CAMTA1","No",NA
"YBX1",3.6312254960776e-179,0.158760123416074,0.117,0.054,2.30804323756188e-174,"Brain","YBX1","No",NA
"ZNF644.1",9.92839467363004e-256,0.153347848436587,0.193,0.093,6.31058693850599e-251,"Brain","ZNF644","No",NA
"SMARCC2",8.35347532433641e-187,0.151939774130057,0.115,0.052,5.30955245090147e-182,"Brain","SMARCC2","No",NA
"SOX4.1",5.26849125697673e-300,0.145981818676239,0.335,0.18,3.34870572784698e-295,"Brain","SOX4","No",NA
"YY1.1",3.6585055194993e-218,0.143285232618007,0.181,0.09,2.32538269324895e-213,"Brain","YY1","No",NA
"HIVEP1",1.65525222235747e-177,0.141577766236791,0.109,0.049,1.05209486505263e-172,"Brain","HIVEP1","No",NA
"TAX1BP1.1",1.28557826321178e-241,0.139188158718763,0.182,0.087,8.17126399880037e-237,"Brain","TAX1BP1","No",NA
"NFIA.1",1.65831884194397e-212,0.131951377118462,0.477,0.3,1.05404403912801e-207,"Brain","NFIA","No",NA
"KLF2.1",5.69098977395633e-220,0.12735680380648,0.191,0.097,3.61725001022438e-215,"Brain","KLF2","No",NA
"SMAD5",3.07285914282609e-180,0.121721761554943,0.146,0.073,1.95313999977169e-175,"Brain","SMAD5","No",NA
"HIVEP2",3.23723249063958e-173,0.120240664884269,0.118,0.055,2.05761734337543e-168,"Brain","HIVEP2","No",NA
"FOXN3.1",3.08686349291557e-245,0.11518552722344,0.202,0.1,1.96204130473207e-240,"Brain","FOXN3","No",NA
"SON.1",2.26959816444818e-222,0.111398617036755,0.252,0.137,1.44257928930491e-217,"Brain","SON","No",NA
"PIAS1.1",9.06792265030309e-236,0.111334364214142,0.217,0.111,5.76366231575915e-231,"Brain","PIAS1","No",NA
"BCLAF1",5.3459987686271e-174,0.107977822131779,0.136,0.066,3.39797027732707e-169,"Brain","BCLAF1","No",NA
"TSC22D2",1.83693826412735e-171,0.107294325174025,0.138,0.068,1.16757633006199e-166,"Brain","TSC22D2","No",NA
"STAT3.1",1.23906526136181e-233,0.106906176945615,0.245,0.13,7.87562270774179e-229,"Brain","STAT3","No",NA
"ELF2.1",2.83241695727272e-241,0.104176146458504,0.219,0.111,1.80031254221211e-236,"Brain","ELF2","No",NA
"ZNF423.1",1.7776749777358e-146,0.0974276986582563,0.168,0.093,1.12990799259865e-141,"Brain","ZNF423","No",NA
"TCF3",6.38546256940552e-146,0.0933080894715488,0.104,0.05,4.05866386373984e-141,"Brain","TCF3","No",NA
"SP3",9.37330979267006e-179,0.0913828732624411,0.116,0.053,5.95776943731902e-174,"Brain","SP3","No",NA
"CSDE1.1",1.23182564427207e-203,0.0900810802700436,0.235,0.129,7.82960697755771e-199,"Brain","CSDE1","No",NA
"MAZ",1.37178718532807e-109,0.088870475254955,0.109,0.058,8.71921652866377e-105,"Brain","MAZ","No",NA
